,1,1:0.52076 2:0.922222 3:0.212121 5:0.223514 6:0.391176 7:0.740157 8:0.874016 9:0.681102 10:0.177471 13:1 47:1
19,0,1:0.142071 2:0.9 3:0.545455 4:0.0887616 5:0.321705 6:0.0768582 7:0.42126 8:0.692913 9:0.767717 10:0.113202 14:1 24:1
20,0,1:0.322161 2:0.983333 3:0.181818 4:0.136006 5:0.249354 6:0.0674441 7:0.787402 8:0.858268 9:0.614173 10:0.21093 14:1 20:1
21,0,1:0.642821 2:0.0944444 3:0.424242 4:0.429492 5:0.573643 6:0.0868343 7:0.799213 8:0.65748 9:0.326772 10:0.261955 11:1 44:1
22,0,1:0.258129 2:0.972222 3:0.166667 4:0.0214746 5:0.223514 6:0.141352 7:0.787402 8:0.870079 9:0.629921 10:0.119894 14:1 30:1
23,1,1:0.573787 2:0.888889 3:0.333333 4:0.130279 5:0.30491 6:0.354082 7:0.614173 8:0.834646 9:0.759843 10:0.134393 13:1 45:1
24,0,1:0.208104 2:0.3 3:0.19697 5:0.223514 6:0.0896445 7:0.948819 8:0.885827 9:0.437008 10:0.103304 14:1 18:1
25,0,1:0.277639 2:0.0833333 3:0.378788 4:0.0773085 5:0.310078 6:0.0562035 7:0.80315 8:0.700787 9:0.389764 10:0.0886658 14:1 20:1
26,1,1:0.606803 2:0.794444 3:0.151515 4:0.258411 5:0.307494 6:0.359843 7:0.759843 8:0.944882 9:0.732283 10:0.263488 13:1 46:1
27,0,1:0.252626 2:0.369444 3:0.272727 4:0.125268 5:0.322997 6:0.169313 7:0.968504 8:0.897638 9:0.405512 10:0.138575 14:1 17:1
28,0,1:0.515258 2:0.830556 3:0.181818 4:0.0214746 5:0.23385 6:0.354784 7:0.732283 8:0.925197 9:0.744094 10:0.0237 13:1 37:1
29,0,1:0.132066 2:0.127778 3:0.348485 5:0.223514 6:0.15456 7:0.866142 8:0.724409 9:0.346457 10:0.202983 14:1 31:1
30,0,1:0.728864 2:0.111111 3:0.227273 4:0.0959198 5:0.267442 6:0.274835 7:0.866142 8:0.811024 9:0.46063 10:0.370696 11:1 53:1
31,1,1:0.625813 2:0.569444 3:0.19697 4:0.0214746 5:0.218346 6:0.434172 7:0.834646 8:0.992126 9:0.677165 10:0.189321 13:1 37:1
32,1,1:0.471236 2:0.0222222 3:0.227273 4:0.0773085 5:0.248062 6:0.283546 7:0.795276 8:0.822835 9:0.562992 10:0.220828 11:1 43:1
33,0,1:0.146073 2:0.35 3:0.272727 5:0.223514 6:0.204581 7:0.972441 8:0.885827 9:0.389764 10:0.03792 14:1 17:1
34,1,1:0.477239 2:0.222222 3:0.454545 4:0.242663 5:0.419897 6:0.2376 7:0.956693 8:0.681102 9:0.149606 10:0.211488 13:1 27:1
35,0,1:0.213607 2:0.761111 3:0.333333 4:0.0959198 5:0.294574 6:0.206548 7:0.606299 8:0.940945 9:0.870079 10:0.0939635 14:1 16:1
36,1,1:0.483242 2:0.0805556 3:0.166667 4:0.0858984 5:0.231266 6:0.256428 7:0.850394 8:0.850394 9:0.527559 10:0.357312 13:1 40:1
37,0,1:0.147074 2:0.994444 3:0.469697 4:0.202577 5:0.379845 6:0.0758747 7:0.622047 8:0.65748 9:0.531496 10:0.112645 14:1 24:1
38,0,1:0.234117 2:0.888889 3:0.454545 4:0.0300644 5:0.251938 6:0.151047 7:0.511811 8:0.775591 9:0.783465 10:0.134114 14:1 24:1
39,1,1:0.546773 2:0.780556 3:0.0757576 4:0.151754 5:0.26615 6:0.677814 7:0.811024 8:0.944882 9:0.681102 10:0.28189 11:1 43:1
40,0,1:0.254627 2:0.0638889 3:0.333333 4:0.154617 5:0.257106 6:0.172826 7:0.795276 8:0.740157 9:0.452756 10:0.0356894 14:1 24:1
41,0,1:0.505253 2:0.830556 3:0.136364 4:0.0644238 5:0.209302 6:0.234649 7:0.771654 8:0.933071 9:0.712598 10:0.203541 13:1 37:1
42,1,1:0.504752 3:0.393939 4:0.125268 5:0.29845 6:0.360826 7:0.681102 8:0.720472 9:0.547244 10:0.12798 13:1 45:1
43,0,1:0.309155 2:0.877778 3:0.212121 4:0.198282 5:0.322997 6:0.118027 7:0.720472 8:0.897638 9:0.724409 10:0.024397 14:1 16:1
44,0,1:0.310155 2:0.00555556 3:0.106061 5:0.223514 6:0.0585921 7:0.826772 8:0.889764 9:0.606299 10:0.172034 14:1 20:1
45,0,1:0.203102 2:0.938889 3:0.19697 5:0.223514 6:0.174652 7:0.748031 8:0.866142 9:0.665354 10:0.0879688 14:1 28:1
46,0,1:0.249625 2:0.186111 3:0.227273 5:0.223514 6:0.113531 7:0.92126 8:0.818898 9:0.401575 10:0.210512 14:1 19:1
47,0,1:0.172586 2:0.494444 3:0.257576 5:0.223514 6:0.177462 7:0.885827 8:0.976378 9:0.586614 10:0.0889447 14:1 31:1
48,0,1:0.310655 2:0.277778 3:0.166667 4:0.0773085 5:0.262274 6:0.0805115 7:0.937008 8:0.889764 9:0.464567 10:0.188206 14:1 20:1
49,0,1:0.26013 2:0.15 3:0.030303 4:0.304939 5:0.422481 6:0.0784038 7:0.866142 8:0.92126 9:0.590551 10:0.247316 14:1 20:1
50,1,1:0.394197 2:0.65 3:0.030303 4:0.23121 5:0.24677 6:0.102009 7:0.850394 8:0.948819 9:0.637795 10:0.181096 11:1 43:1
51,0,1:0.230115 2:0.316667 3:0.348485 4:0.0644238 5:0.264858 6:0.064353 7:0.992126 8:0.822835 9:0.279528 10:0.102468 14:1 18:1
52,0,1:0.696848 2:0.333333 3:0.121212 4:0.107373 5:0.211886 6:0.508079 7:0.92126 8:0.92126 9:0.519685 10:0.542451 11:1 52:1
53,1,1:0.430215 2:0.35 3:0.166667 4:0.198282 5:0.210594 6:0.153435 7:0.940945 8:0.917323 9:0.484252 10:0.181514 11:1 37:1
54,0,1:0.305653 2:0.302778 3:0.136364 4:0.269148 5:0.348837 6:0.049178 7:0.925197 8:0.909449 9:0.5 10:0.0609229 14:1 16:1
55,1,1:0.528764 2:0.294444 3:0.287879 4:0.322835 5:0.378553 6:0.136574 7:0.980315 8:0.838583 9:0.330709 10:0.125331 11:1 43:1
56,1,1:0.586793 2:0.241667 3:0.181818 4:0.198282 5:0.315245 6:0.74863 7:0.937008 8:0.862205 9:0.429134 10:0.0935452 11:1 44:1
57,1,1:0.605303 2:0.388889 3:0.106061 4:0.173228 5:0.23385 6:0.21259 7:0.909449 8:0.937008 9:0.547244 10:0.111111 13:1 46:1
58,0,1:0.24012 2:0.230556 3:0.0606061 4:0.0214746 5:0.231266 6:0.0622453 7:0.885827 8:0.917323 9:0.562992 10:0.196431 14:1 15:1
59,1,1:0.594797 2:0.944444 3:0.318182 4:0.486042 5:0.578811 6:0.115779 7:0.677165 8:0.807087 9:0.669291 10:0.21093 13:1 47:1
60,0,1:0.1991 2:0.95 3:0.030303 5:0.223514 6:0.220037 7:0.84252 8:0.925197 9:0.625984 10:0.149728 14:1 31:1
61,0,1:0.185093 2:0.383333 3:0.409091 4:0.0773085 5:0.308786 6:0.196712 7:0.980315 8:0.862205 9:0.314961 10:0.124355 14:1 17:1
62,0,1:0.261131 2:0.0194444 3:0.545455 4:0.204009 5:0.366925 6:0.104117 7:0.610236 8:0.574803 9:0.433071 10:0.0811376 14:1 24:1
63,0,1:0.208604 2:0.116667 3:0.287879 5:0.223514 6:0.20725 7:0.862205 8:0.76378 9:0.405512 10:0.083647 14:1 31:1
64,1,1:0.646823 2:0.191667 3:0.166667 4:0.0429492 5:0.228682 6:0.771392 7:0.913386 8:0.858268 9:0.456693 10:0.301687 11:1 43:1
65,1,1:0.470735 2:0.7 3:0.166667 4:0.0214746 5:0.23385 6:0.295068 7:0.771654 8:0.976378 9:0.748031 10:0.269762 13:1 27:1
66,1,1:0.477739 2:0.311111 3:0.106061 4:0.193271 5:0.28553 6:0.297878 7:0.913386 8:0.917323 9:0.523622 10:0.0975882 13:1 24:1
67,0,1:0.129065 2:0.244444 3:0.257576 4:0.0214746 5:0.226098 6:0.158353 7:0.956693 8:0.830709 9:0.362205 10:0.199498 14:1 31:1
68,0,1:0.156578 2:0.0222222 3:0.5 4:0.0429492 5:0.248062 6:0.18505 7:0.645669 8:0.61811 9:0.452756 10:0.152238 14:1 24:1
69,1,1:0.527764 2:0.0833333 3:0.212121 4:0.27917 5:0.184755 6:0.0660391 7:0.846457 8:0.818898 9:0.496063 10:0.228635 11:1 43:1
70,1,1:0.603302 2:0.0277778 3:0.136364 4:0.128848 5:0.263566 6:0.153295 7:0.826772 8:0.870079 9:0.582677 10:0.209118 12:1 37:1
71,0,1:0.157079 2:0.0611111 3:0.19697 4:0.0214746 5:0.222222 6:0.178586 7:0.830709 8:0.830709 9:0.527559 10:0.123519 14:1 31:1
72,1,1:0.5993 2:0.911111 3:0.136364 4:0.211167 5:0.31137 6:0.362653 7:0.779528 8:0.905512 9:0.673228 10:0.273107 13:1 46:1
73,1,1:0.615308 2:0.669444 3:0.318182 4:0.531854 5:0.583979 6:0.282984 7:0.685039 8:0.992126 9:0.826772 10:0.117385 13:1 27:1
74,0,1:0.217109 2:0.552778 3:0.333333 4:0.182534 5:0.368217 6:0.16861 7:0.814961 8:0.996063 9:0.673228 10:0.156559 14:1 17:1
75,0,1:0.233117 2:0.305556 3:0.515152 4:0.151754 5:0.352713 6:0.0685682 7:1 8:0.716535 9:0.102362 10:0.251499 14:1 17:1
76,1,1:0.565783 2:0.955556 3:0.348485 4:0.34932 5:0.44186 6:0.0715189 7:0.665354 8:0.783465 9:0.649606 10:0.189042 11:1 44:1
77,0,1:0.249625 2:0.958333 3:0.484848 4:0.0608447 5:0.268734 6:0.125334 7:0.562992 8:0.681102 9:0.622047 10:0.136763 14:1 24:1
78,0,1:0.201101 2:0.569444 3:0.333333 4:0.137437 5:0.328165 6:0.158634 7:0.791339 8:1 9:0.700787 10:0.163948 14:1 17:1
79,1,1:0.406203 2:0.219444 3:0.287879 4:0.0429492 5:0.249354 6:0.369257 7:0.948819 8:0.799213 9:0.334646 10:0.139551 13:1 24:1
80,1,1:0.612806 4:0.257695 5:0.271318 6:0.447098 7:0.858268 8:0.937008 9:0.614173 10:0.195176 13:1 46:1
81,0,1:0.27964 2:0.0333333 3:0.287879 4:0.34932 5:0.520672 6:0.140087 7:0.775591 8:0.775591 9:0.519685 10:0.150843 14:1 20:1
82,0,1:0.311156 2:0.172222 3:0.136364 4:0.125268 5:0.27261 6:0.0266966 7:0.897638 8:0.870079 9:0.492126 10:0.248989 14:1 20:1
83,0,1:0.188594 2:0.194444 3:0.151515 5:0.223514 6:0.2154 7:0.909449 8:0.870079 9:0.484252 10:0.124773 14:1 31:1
84,0,1:0.298149 2:0.975 3:0.242424 4:0.128848 5:0.229974 6:0.139104 7:0.751969 8:0.834646 9:0.622047 10:0.0253729 14:1 20:1
85,1,1:0.624812 2:0.155556 3:0.0757576 4:0.0214746 5:0.226098 6:0.75692 7:0.877953 8:0.901575 9:0.555118 10:0.454482 11:1 37:1
86,0,1:0.235118 2:0.866667 3:0.212121 4:0.0959198 5:0.286822 6:0.159899 7:0.716535 8:0.901575 9:0.73622 10:0.067057 14:1 19:1
87,0,1:0.234117 2:0.111111 3:0.121212 5:0.223514 6:0.0340031 7:0.870079 8:0.874016 9:0.535433 10:0.112645 14:1 24:1
88,0,1:0.541271 2:0.397222 3:0.106061 4:0.328561 5:0.356589 6:0.113531 7:0.909449 8:0.940945 9:0.551181 10:0.319253 13:1 47:1
89,1,1:0.556778 2:0.102778 3:0.106061 4:0.0644238 5:0.244186 6:0.596038 7:0.866142 8:0.88189 9:0.547244 10:0.128259 11:1 37:1
90,1,1:0.488744 2:0.0388889 3:0.272727 4:0.0214746 5:0.237726 6:0.217648 7:0.791339 8:0.787402 9:0.523622 10:0.376969 13:1 34:1
91,0,1:0.229615 2:0.177778 3:0.409091 4:0.198282 5:0.401809 6:0.210763 7:0.917323 8:0.692913 9:0.228346 10:0.0209118 14:1 24:1
92,1,1:0.590295 2:0.288889 3:0.0909091 4:0.0680029 5:0.231266 6:0.19882 7:0.905512 8:0.917323 9:0.535433 10:0.378782 11:1 43:1
93,1,1:0.338669 2:0.994444 3:0.136364 4:0.184681 5:0.25969 6:0.117465 7:0.814961 8:0.88189 9:0.610236 10:0.112923 14:1 20:1
94,0,1:0.249625 2:0.322222 3:0.30303 4:0.107373 5:0.310078 6:0.181537 7:0.984252 8:0.854331 9:0.334646 10:0.132023 14:1 17:1
95,1,1:0.614307 2:0.677778 3:0.393939 4:0.0429492 5:0.229974 6:0.376001 7:0.622047 8:0.980315 9:0.870079 10:0.185139 13:1 47:1
96,1,1:0.44072 2:0.922222 3:0.409091 4:0.125268 5:0.313953 6:0.314599 7:0.574803 8:0.76378 9:0.712598 10:0.339049 11:1 43:1
97,0,1:0.501751 2:0.361111 3:0.242424 4:0.0909091 5:0.26615 6:0.311227 7:0.964567 8:0.901575 9:0.425197 10:0.117385 13:1 27:1
98,1,1:0.551276 2:0.269444 3:0.30303 4:0.107373 5:0.284238 6:0.510889 7:0.976378 8:0.811024 9:0.30315 10:0.169803 11:1 43:1
99,0,1:0.233117 2:0.538889 3:0.393939 4:0.0644238 5:0.308786 6:0.23212 7:0.811024 8:0.984252 9:0.645669 10:0.127422 14:1 16:1
100,0,1:0.249625 2:0.0333333 3:0.151515 4:0.154617 5:0.295866 6:0.18519 7:0.826772 8:0.862205 9:0.574803 10:0.0503276 14:1 20:1
101,1,1:0.509755 2:0.408333 3:0.242424 4:0.194703 5:0.346253 6:0.131797 7:0.940945 8:0.933071 9:0.484252 10:0.41461 13:1 25:1
102,0,1:0.256628 2:0.811111 3:0.166667 4:0.219041 5:0.355297 6:0.11325 7:0.740157 8:0.937008 9:0.744094 10:0.142758 14:1 20:1
103,1,1:0.342171 2:0.938889 3:0.121212 4:0.0214746 5:0.226098 6:0.15737 7:0.795276 8:0.897638 9:0.649606 10:0.0869929 13:1 34:1
104,0,1:0.17909 2:0.255556 3:0.318182 4:0.0644238 5:0.249354 6:0.101447 7:0.972441 8:0.799213 9:0.291339 10:0.218876 14:1 17:1
105,1,1:0.534767 2:0.875 3:0.0151515 4:0.107373 5:0.25323 6:0.589293 7:0.846457 8:0.933071 9:0.629921 10:0.564617 11:1 43:1
106,1,1:0.518259 2:0.511111 3:0.227273 4:0.395848 5:0.560724 6:0.13812 7:0.877953 8:0.980315 9:0.614173 10:0.250941 13:1 46:1
107,0,1:0.26013 2:0.388889 3:0.363636 4:0.176807 5:0.401809 6:0.0362512 7:0.972441 8:0.88189 9:0.354331 10:0.25359 14:1 17:1
108,0,1:0.658329 2:0.405556 3:0.0757576 5:0.223514 6:0.48054 7:0.893701 8:0.940945 9:0.574803 10:0.44779 11:1 37:1
109,1,1:0.586293 2:0.694444 3:0.287879 4:0.395848 5:0.322997 6:0.191935 7:0.69685 8:0.984252 9:0.822835 10:0.0557647 13:1 27:1
110,0,1:0.508754 2:0.427778 3:0.257576 4:0.130279 5:0.29199 6:0.304342 7:0.937008 8:0.940945 9:0.488189 10:0.130768 13:1 46:1
111,1,1:0.627814 2:0.25 3:0.378788 4:0.634216 5:0.622739 6:0.124491 7:0.976378 8:0.751969 9:0.224409 10:0.218876 11:1 43:1
112,1,1:0.401201 2:0.738889 3:0.0606061 4:0.0479599 5:0.228682 6:0.088661 7:0.826772 8:0.948819 9:0.665354 10:0.208978 11:1 37:1
113,0,1:0.156578 2:0.158333 3:0.333333 5:0.223514 6:0.102009 7:0.901575 8:0.73622 9:0.314961 10:0.138993 14:1 24:1
114,1,1:0.521761 2:0.241667 3:0.227273 4:0.298497 5:0.392765 6:0.0852887 7:0.948819 8:0.846457 9:0.393701 10:0.186393 11:1 43:1
115,1,1:0.591796 2:0.633333 3:0.106061 4:0.328561 5:0.347545 6:0.431643 7:0.826772 8:0.972441 9:0.685039 10:0.148473 13:1 46:1
116,0,1:0.147574 2:0.175 3:0.106061 5:0.223514 6:0.210482 7:0.889764 8:0.889764 9:0.527559 10:0.0344347 14:1 17:1
117,0,1:0.270135 2:0.877778 3:0.409091 4:0.193271 5:0.416021 6:0.11873 7:0.543307 8:0.811024 9:0.795276 10:0.15154 14:1 24:1
118,0,1:0.245123 2:0.205556 3:0.212121 4:0.14388 5:0.277778 6:0.142195 7:0.929134 8:0.834646 9:0.409449 10:0.136205 14:1 17:1
119,1,1:0.6008 2:0.263889 3:0.333333 4:0.324982 5:0.399225 6:0.600253 7:0.980315 8:0.791339 9:0.271654 10:0.328872 11:1 43:1
120,1,1:0.410205 2:0.183333 3:0.166667 4:0.0773085 5:0.235142 6:0.173528 7:0.909449 8:0.854331 9:0.46063 10:0.261955 11:1 37:1
121,0,1:0.492746 2:0.183333 3:0.318182 4:0.0773085 5:0.286822 6:0.0178446 7:0.925197 8:0.755906 9:0.307087 10:0.172452 11:1 43:1
122,0,1:0.51926 2:0.0416667 3:0.106061 4:0.125268 5:0.231266 6:0.263875 7:0.84252 8:0.885827 9:0.582677 10:0.209118 13:1 46:1
123,1,1:0.508254 2:0.919444 3:0.227273 4:0.198282 5:0.27907 6:0.352115 7:0.724409 8:0.870079 9:0.692913 10:0.334867 11:1 43:1
124,0,1:0.256628 2:0.263889 3:0.151515 5:0.223514 6:0.148939 7:0.929134 8:0.885827 9:0.472441 10:0.112645 14:1 20:1
125,0,1:0.292146 2:0.233333 3:0.242424 4:0.0300644 5:0.23385 6:0.0736265 7:0.948819 8:0.834646 9:0.38189 10:0.239509 14:1 20:1
126,0,1:0.288144 2:0.955556 3:0.242424 4:0.279885 5:0.436693 6:0.131095 7:0.73622 8:0.84252 9:0.649606 10:0.132023 14:1 20:1
127,0,1:0.54027 2:0.222222 3:0.227273 4:0.125268 5:0.276486 6:0.325137 7:0.940945 8:0.830709 9:0.385827 10:0.0794647 13:1 46:1
128,1,1:0.33967 2:0.744444 3:0.106061 4:0.151754 5:0.271318 6:0.158353 7:0.795276 8:0.956693 9:0.704724 10:0.129653 14:1 20:1
129,1,1:0.55978 2:0.355556 3:0.242424 4:0.0909091 5:0.222222 6:0.124069 7:0.964567 8:0.897638 9:0.425197 10:0.204099 13:1 47:1
130,1,1:0.574787 2:0.338889 3:0.333333 4:0.257695 5:0.22093 6:0.156808 7:0.988189 8:0.854331 9:0.322835 10:0.115433 11:1 43:1
131,0,1:0.255128 2:0.316667 3:0.530303 4:0.151754 5:0.388889 6:0.0539553 7:1 8:0.720472 9:0.102362 10:0.266416 14:1 17:1
132,0,1:0.229615 2:0.575 3:0.151515 4:0.0214746 5:0.228682 6:0.0754531 7:0.84252 8:0.980315 9:0.669291 10:0.0897811 14:1 31:1
133,1,1:0.582791 2:0.944444 3:0.151515 4:0.128848 5:0.255814 6:0.405929 7:0.779528 8:0.885827 9:0.653543 10:0.230308 13:1 46:1
134,0,1:0.689845 2:0.825 3:0.378788 4:0.344309 5:0.346253 6:0.258536 7:0.559055 8:0.874016 9:0.854331 10:0.456713 11:1 43:1
135,1,1:0.562281 2:0.288889 3:0.272727 4:0.115963 5:0.275194 6:0.262892 7:0.972441 8:0.846457 9:0.354331 10:0.353966 13:1 46:1
136,1,1:0.55978 2:0.725 3:0.257576 4:0.198282 5:0.244186 6:0.815372 7:0.69685 8:0.972441 9:0.814961 10:0.26781 11:1 43:1
137,0,1:0.186593 2:0.391667 3:0.484848 4:0.0608447 5:0.289406 6:0.166924 7:0.972441 8:0.834646 9:0.26378 10:0.15391 14:1 17:1
138,1,1:0.592296 2:0.222222 3:0.348485 4:0.335719 5:0.357881 6:0.199803 7:0.956693 8:0.759843 9:0.267717 10:0.321762 13:1 47:1
139,1,1:0.476238 2:0.977778 3:0.19697 4:0.163207 5:0.268734 6:0.301391 7:0.779528 8:0.858268 9:0.622047 10:0.34351 11:1 43:1
140,0,1:0.225613 2:0.919444 3:0.30303 4:0.136006 5:0.322997 6:0.152733 7:0.65748 8:0.826772 9:0.708661 10:0.117803 14:1 24:1
141,0,1:0.288144 2:0.85 3:0.227273 4:0.154617 5:0.299742 6:0.134888 7:0.69685 8:0.905512 9:0.759843 10:0.131047 14:1 24:1
142,1,1:0.369685 2:0.908333 3:0.106061 4:0.0214746 5:0.223514 6:0.081776 7:0.80315 8:0.917323 9:0.661417 10:0.206608 11:1 34:1
143,1,1:0.647824 2:0.0944444 3:0.181818 4:0.107373 5:0.228682 6:0.433329 7:0.858268 8:0.84252 9:0.511811 10:0.447512 13:1 38:1
144,0,1:0.207104 2:0.788889 3:0.348485 4:0.151754 5:0.351421 6:0.187158 7:0.586614 8:0.917323 9:0.870079 10:0.10902 14:1 24:1
145,0,1:0.15908 2:0.4 3:0.469697 4:0.0214746 5:0.241602 6:0.196853 7:0.964567 8:0.850394 9:0.291339 10:0.124355 14:1 17:1
146,1,1:0.694847 2:0.438889 3:0.363636 4:0.471009 5:0.341085 6:0.12983 7:0.933071 8:0.929134 9:0.448819 10:0.190297 13:1 41:1
147,0,1:0.226613 2:0.269444 3:0.393939 4:0.150322 5:0.307494 6:0.15456 7:0.988189 8:0.76378 9:0.216535 10:0.104698 14:1 16:1
148,0,1:0.262631 2:0.925 3:0.151515 5:0.223514 6:0.0774203 7:0.779528 8:0.897638 9:0.665354 10:0.192806 14:1 25:1
149,0,1:0.265133 2:0.844444 3:0.348485 4:0.298497 5:0.431525 6:0.130814 7:0.590551 8:0.870079 9:0.822835 10:0.143873 14:1 24:1
150,0,1:0.176588 2:0.288889 3:0.166667 5:0.223514 6:0.200365 7:0.940945 8:0.889764 9:0.46063 10:0.0719364 14:1 16:1
151,0,1:0.287644 2:0.0305556 3:0.212121 4:0.292054 5:0.435401 6:0.134186 7:0.80315 8:0.826772 9:0.555118 10:0.136205 14:1 20:1
152,0,1:0.173587 2:0.347222 3:0.484848 4:0.0429492 5:0.25323 6:0.190811 7:0.996063 8:0.779528 9:0.181102 10:0.130071 14:1 17:1
153,0,1:0.194597 2:0.327778 3:0.227273 4:0.0680029 5:0.245478 6:0.191373 7:0.96063 8:0.889764 9:0.42126 10:0.074167 14:1 16:1
154,0,1:0.281641 2:0.833333 3:0.166667 4:0.150322 5:0.324289 6:0.142616 7:0.740157 8:0.925197 9:0.740157 10:0.208978 14:1 24:1
155,0,1:0.172586 2:0.883333 3:0.318182 4:0.211167 5:0.400517 6:0.0868343 7:0.633858 8:0.850394 9:0.76378 10:0.119894 14:1 24:1
156,0,1:0.685843 2:0.138889 3:0.409091 4:0.446671 5:0.25323 6:0.125755 7:0.866142 8:0.677165 9:0.275591 10:0.275199 11:1 53:1
157,0,1:0.250625 2:0.863889 3:0.439394 4:0.173228 5:0.167959 6:0.125755 7:0.507874 8:0.80315 9:0.822835 10:0.187927 14:1 24:1
158,0,1:0.270635 2:0.261111 3:0.30303 4:0.137437 5:0.267442 6:0.0910496 7:0.972441 8:0.807087 9:0.307087 10:0.0889447 14:1 15:1
159,0,1:0.257629 2:0.230556 3:0.166667 4:0.292054 5:0.421189 6:0.080933 7:0.929134 8:0.866142 9:0.448819 10:0.245086 14:1 20:1
160,1,1:0.636318 2:0.194444 3:0.257576 4:0.410165 5:0.167959 6:0.156386 7:0.929134 8:0.807087 9:0.377953 10:0.138575 11:1 44:1
161,0,1:0.134067 2:0.0111111 3:0.227273 5:0.223514 6:0.16861 7:0.783465 8:0.826772 9:0.57874 10:0.0754217 14:1 28:1
162,0,1:0.117559 2:0.25 3:0.348485 4:0.0429492 5:0.250646 6:0.0644935 7:0.976378 8:0.775591 9:0.255906 10:0.101771 14:1 15:1
163,0,1:0.257129 2:0.816667 3:0.348485 4:0.0773085 5:0.263566 6:0.185471 7:0.594488 8:0.897638 9:0.84252 10:0.0461453 14:1 24:1
164,0,1:0.193597 2:0.952778 3:0.409091 4:0.0429492 5:0.268734 6:0.183645 7:0.610236 8:0.740157 9:0.649606 10:0.0920117 14:1 24:1
165,0,1:0.204102 2:0.852778 3:0.318182 4:0.0608447 5:0.248062 6:0.160461 7:0.625984 8:0.877953 9:0.795276 10:0.111111 14:1 24:1
166,1,1:0.548274 2:0.102778 3:0.0757576 4:0.304939 5:0.277778 6:0.548686 7:0.866142 8:0.901575 9:0.570866 10:0.623867 11:1 26:1
167,0,1:0.176588 2:0.330556 3:0.378788 4:0.0479599 5:0.255814 6:0.140087 7:0.996063 8:0.826772 9:0.271654 10:0.180399 14:1 17:1
168,0,1:0.229115 2:0.208333 3:0.363636 4:0.198282 5:0.320413 6:0.18238 7:0.948819 8:0.744094 9:0.259843 10:0.127422 14:1 24:1
